is_gpt,Avg_Word_Length,Lexical_Richness,Avg_Sent_Length,Reading_Ease,Sentiment_Score,Stopword_Freq,Named_Entity_Freq,Perplexity,NN,.,IN,DT,NNS,PRP,VBD,VBN,RB,:,MD,VB,PRP$,CC,JJ,TO,VBG,",",NNP,RP,WDT,CD,POS,WP,VBZ,WRB,VBP,JJR
0,3.9879518072289155,0.44922547332185886,179.96774193548387,56.63,0.9918,0.3795180722891566,0.050774526678141134,58.454139709472656,121,30.0,144.0,123.0,48.0,37.0,16.0,18.0,51.0,24.0,15.0,30.0,14.0,49.0,71,26.0,16.0,72.0,133.0,4.0,8.0,12.0,6.0,1.0,27.0,5.0,22.0,3.0
0,4.283085013146363,0.4198071866783523,81.91549295774648,74.29,0.9936,0.37072743207712533,0.015775635407537247,40.140228271484375,191,70.0,138.0,143.0,57.0,59.0,106.0,31.0,42.0,5.0,7.0,17.0,14.0,38.0,89,11.0,14.0,56.0,26.0,3.0,3.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0
0,4.385266723116003,0.4394580863674852,180.55882352941177,41.63,0.9983,0.397121083827265,0.006773920406435224,52.00799560546875,173,33.0,138.0,122.0,57.0,32.0,27.0,35.0,46.0,38.0,14.0,39.0,26.0,53.0,99,24.0,11.0,87.0,24.0,3.0,5.0,8.0,0.0,15.0,32.0,1.0,19.0,3.0
0,3.8562822719449223,0.37779690189328746,89.68333333333334,79.4,0.9906,0.3080895008605852,0.0757314974182444,30.514986038208008,82,59.0,86.0,85.0,31.0,54.0,61.0,9.0,45.0,2.0,13.0,33.0,12.0,42.0,76,25.0,16.0,53.0,245.0,10.0,3.0,22.0,9.0,5.0,9.0,8.0,9.0,0.0
0,3.7803418803418802,0.3658119658119658,97.12727272727273,79.6,-0.9988,0.4008547008547009,0.004273504273504274,38.20368194580078,104,54.0,124.0,82.0,51.0,118.0,57.0,28.0,59.0,14.0,22.0,50.0,28.0,49.0,81,23.0,28.0,59.0,14.0,3.0,7.0,8.0,1.0,5.0,21.0,13.0,31.0,4.0
0,3.848914858096828,0.4315525876460768,123.08888888888889,73.81,-0.9931,0.39232053422370616,0.022537562604340568,47.39326858520508,179,44.0,136.0,135.0,35.0,63.0,75.0,36.0,33.0,21.0,11.0,24.0,35.0,43.0,83,14.0,19.0,92.0,41.0,8.0,5.0,5.0,2.0,3.0,2.0,4.0,10.0,0.0
0,3.833470057424118,0.39868744872846595,125.06666666666666,77.67,-0.9829,0.38720262510254305,0.04101722723543889,40.44252395629883,127,50.0,83.0,75.0,47.0,79.0,77.0,34.0,65.0,1.0,15.0,55.0,20.0,57.0,107,20.0,10.0,85.0,104.0,2.0,4.0,22.0,0.0,7.0,12.0,12.0,37.0,1.0
0,3.812553740326741,0.41874462596732587,107.58,83.29,-0.4821,0.40240756663800514,0.009458297506448839,52.68755340576172,172,49.0,140.0,132.0,75.0,53.0,82.0,19.0,35.0,14.0,6.0,15.0,36.0,67.0,80,17.0,19.0,83.0,10.0,4.0,6.0,16.0,6.0,4.0,1.0,2.0,9.0,2.0
0,4.0544511668107175,0.46845289541918755,141.225,70.16,-0.9978,0.4070872947277442,0.006050129645635264,58.584312438964844,207,40.0,149.0,144.0,36.0,37.0,7.0,14.0,51.0,13.0,17.0,41.0,31.0,44.0,79,14.0,18.0,93.0,13.0,6.0,5.0,10.0,5.0,5.0,29.0,9.0,20.0,2.0
0,4.18495575221239,0.46283185840707963,167.5,58.55,0.9917,0.41858407079646015,0.01592920353982301,50.90329360961914,167,33.0,156.0,132.0,55.0,42.0,57.0,31.0,56.0,19.0,12.0,30.0,24.0,36.0,92,24.0,14.0,63.0,21.0,4.0,10.0,9.0,3.0,3.0,8.0,5.0,6.0,4.0
